id;reference;variation_index;rhythm_type;melody;clef;alter;support_sound;height;tempo;bar;note_length;;
62;192;1;5;GA B2 B2 | AB c2 c2 | AA A2 A2 BB B2 B2;&;^F;g, (h?);0;0;34;1/8;;
63;193;1;5;cd e2 e2 | dc d2 B2 | dc B2 d2 dc c2 c2;&;;c;0;0;34;1/8;;
64;194;1;1;cB cB cB AB | cB c/A/B cB AA;&;;a;0;0;24;1/8;;
65;195;1;5;cd e2 e2 | dc d2 B2 | dc B2 d2 dc c2 c2;&;;c;0;0;34;1/8;;
66;196;1;1;cc BG cA BG | cc BG AG GG;&;;g;0;0;24;1/8;;
67;197;1;1;^c^c AB ^GF FF | BB ^GB ^A AA;&;^F;a;0;0;24;1/8;;
68;198;1;1;Ad dA d/c/A dB | GB/c/ cA BG AA;&;;a,g;0;0;48;1/8;;
69;199;1;1;GB BB dc BA | dc BA BG GG;&;^F;g;0;1/8=176;48;1/8;;
70;199;2;1;G!mark!A B!mark!A d!mark!B !mark!AA | d!mark!B !mark!A!mark!c BG GG;&;^F;g;0;1/8=176;48;1/8;;
71;200;1;1;DC B,D GG GG | AG FA GG GG;&;^F;g;0;0;48;1/8;;
72;201;1;1;Bd Bd AA AA | Ae dc BB BB;&;^F;"g;h";0;0;44412;1/8;;
73;202;1;1;BA Bd AA AA | cB ce dB BB;&;^F;"g;h";0;0;44412;1/8;;
74;203;1;1;GG GB dc BA | cB BA GG GG;&;^F;g;0;0;0;1/8;;
75;203;2;1;GG GB dc BA | c!mark!A !mark!AA !mark!AG GG;&;^F;g;0;0;0;1/8;;
76;204;1;1;Bd dA cB BB | Bd dA cB BG;&;^F;"g;h";0;0;24;1/8;;
77;204;2;1;Bd dA cB B!mark!A | Bd dA cB B!mark!B;&;^F;"g;h";0;0;24;1/8;;
78;205;1;2/1;GB AE/F/ GF E HE2 | EG FB AF EE;&;^F;e;0;1/4=80;C;1/8;;
79;206;1;2;Gc cB Ac B HA2 | AG BA GG G HG2;&;;g;0;0;44288;1/8;;
80;207;1;2/2A;BB dd BB/d/ c HB2 | BA BB AA A2 D2;&;^F;"g;a";h1=cis;0;24;1/8;;
81;207;2;2/2A;BB dd B!mark!B/c/ !mark!B HB2 | BA BB AA A2 !mark!G2;&;^F;"g;a";h1=cis;0;24;1/8;;
82;208;1;3A;GA G HG2 GG c HB2 | Ac B HA2 BA G HG2;&;^F;g;0;0;44288;1/8;;
83;208;2;3A;GA G HG2 GG !mark!A HB2 | Ac B HA2 BA G HG2;&;^F;g;0;0;44288;1/8;;
84;209;1;2;DC ED B,D C HB,2 | CB, ED B,D C HB,2;&;_B _E;bh;0;1/4=100;0;1/8;;
85;210;1;2;DC ED B,D C HB,2 | CB, ED B,D C HB,2;&;_B _E;bh;0;1/4=100;0;1/8;;
86;211;1;2;DC ED B,D C HB,2 | CB, ED B,D C HB,2;&;_B _E;bh;0;1/4=100;0;1/8;;
87;212;1;2;DC ED B,D C HB,2 | CB, ED B,D C HB,2;&;_B _E;bh;0;1/4=100;0;1/8;;
88;214;1;1;GG AF ED DE | FF GF ED GG;&;^F;g,d;a;0;24;1/8;;
89;215;1;1;BB GG EE AA | AA FF DD GG;&;^F;g;0;0;48;1/8;;
90;216;1;1;BB GF EE AA | AA FE DD GG;&;^F;g;0;0;48;1/8;;
91;217;1;1;BB GG EE AA | AA FF DD GG;&;^F;g;0;0;48;1/8;;
92;218;1;1;BB AG ^FE DD | DD BA AG GG;&;^F;g;a;0;24;1/8;;
93;218;2;1;BB AG ^FE DD | DD BA !mark!B!mark!A GG;&;^F;g;a;0;24;1/8;;
94;218;1;1;GG BB BA GG | FE DD GG GG;&;^F;g;a;0;24;1/8;;
95;218;2;1;GG BB BA G!mark!D | FE DD GG GG;&;^F;g;a;0;24;1/8;;
96;219;1;1;cc AA GG FF | CC CC FF FF;&;;f;0;0;24;1/8;;
97;225;1;1;FF cB AG GG | cB AG GF FF;&;_B;f;0;0;24;1/8;;
98;226;1;1;FF cB AG GG | cB AG GF FF;&;;f;0;0;24;1/8;;
99;227;1;1;FG AG cB cA | FG AG GF FF;&;_B;f;0;1/4=100;0;1/8;;
100;228;1;1;GB dc BA/B/ cB | AB AA GG GG;&;;g;0;0;24;1/8;;
101;228;2;1;GB dc BA/B/ cB | AB A!mark!G GG GG;&;;g;0;0;24;1/8;;
102;233;1;1;BB cB dB BB | BA AG BG GG;&;^F;g;0;0;24;1/8;;
103;233;2;1;BB c!mark!B/c/ d!mark!c BB | !mark!cA AG BG GG;&;^F;g;0;0;24;1/8;;
104;234;1;1;AA cA AA GG | GG BG GG FF;&;_B;f;0;0;24;1/8;;
105;235;1;1;BB dd dc BA | dB AB GG GG;&;^F;g;0;0;0;1/8;;
106;236;1;1;Bd dc Bc cB | AB BA GG GG;&;^F;g;0;0;0;1/8;;
107;237;1;1;dc Bc dc BA | cB AA BA GG;&;;g;0;0;0;1/8;;
108;238;1;1;dc Bc dc BB | cB AA BA GG;&;;g;0;0;0;1/8;;
109;239;1;1;dB dB cA AB | cA cA BG GG;&;^F;g;0;0;0;1/8;;
110;240;1;1;dB dd cB dc | BG cB BG GG;&;^F;g;0;0;0;1/8;;
111;241;1;1;cA cc BA cB | AF BA GF FF;&;_B;f;g;0;0;1/8;;
112;242;1;1;cA cc _BA cB | AF BA GF FF;&;_B;f;0;0;0;1/8;;
113;243;1;1;cA cc BA cB | AF BA GF FF;&;_B;f;0;0;0;1/8;;
114;244;1;1;dB dd cA dc | BG cB AG GG;&;^F;g;0;0;0;1/8;;
115;245;1;1;dB BG BA AG | AA cA AG GG;&;^F;g;b;0;0;1/8;;
116;245;2;1;dB BG BA AG | AA !mark!A!mark!c !mark!d!mark!B !mark!B!mark!B;&;^F;g;b;0;0;1/8;;
117;273;1;1;Bd Bc BG dB | AG cB AG GG;&;^F;g;0;0;0;1/8;;
118;273;2;1;Bd Bc BG dB | AG cB !mark!BG GG;&;^F;g;0;0;0;1/8;;
119;274;1;1;Bd Bc BG dB | AG cB AG GG;&;^F;g;0;0;0;1/8;;
120;274;2;1;Bd Bc BG dB | AG cB !mark!BG GG;&;^F;g;0;0;0;1/8;;
121;275;1;1;Bd Bc BG dB | AG cB AG GG;&;^F;g;0;0;0;1/8;;
122;275;2;1;Bd Bc BG dB | AG cB !mark!BG GG;&;^F;g;0;0;0;1/8;;
123;277;1;1;Bd Bc BG dB | AG cB AG GG;&;^F;g;0;0;0;1/8;;
124;277;2;1;Bd Bc BG dB | AG cB !mark!BG GG;&;^F;g;0;0;0;1/8;;
125;278;1;1;Bd Bc BG dB | AG cB AG GG;&;^F;g;0;0;0;1/8;;
126;278;2;1;Bd Bc BG dB | AG cB !mark!BG GG;&;^F;g;0;0;0;1/8;;
127;279;1;1;Bd Bc BG dB | AG cB AG GG;&;^F;g;0;0;0;1/8;;
128;279;2;1;Bd Bc BG dB | AG cB !mark!BG GG;&;^F;g;0;0;0;1/8;;
129;280;1;1;Bd Bc BG dB | AG cB AG GG;&;^F;g;0;0;0;1/8;;
130;280;2;1;Bd Bc BG dB | AG cB !mark!BG GG;&;^F;g;0;0;0;1/8;;
131;281;1;1;Bd Bc BG dB | AG cB AG GG;&;^F;g;0;0;0;1/8;;
132;281;2;1;Bd Bc BG dB | AG cB !mark!BG GG;&;^F;g;0;0;0;1/8;;
133;282;1;1;Bd Bc BG dB | AG cB AG GG;&;^F;g;0;0;0;1/8;;
134;282;2;1;Bd Bc BG dB | AG cB !mark!BG GG;&;^F;g;0;0;0;1/8;;
135;283;1;1;Bd Bc BG dB | AG cB AG GG;&;^F;g;0;0;0;1/8;;
136;283;2;1;Bd Bc BG dB | AG cB !mark!BG GG;&;^F;g;0;0;0;1/8;;
137;284;1;1;Bd Bc BG dB | AG cB AG GG;&;^F;g;0;0;0;1/8;;
138;284;2;1;Bd Bc BG dB | AG cB !mark!BG GG;&;^F;g;0;0;0;1/8;;
139;285;1;1;Bd Bc BG dB | AG cB AG GG;&;^F;g;0;0;0;1/8;;
140;285;2;1;Bd Bc BG dB | AG cB !mark!BG GG;&;^F;g;0;0;0;1/8;;
141;286;1;1;Bd Bc BG dB | AG cB AG GG;&;^F;g;0;0;0;1/8;;
142;286;2;1;Bd Bc BG dB | AG cB !mark!BG GG;&;^F;g;0;0;0;1/8;;
143;287;1;1;Bd Bc BG dB | AG cB AG GG;&;^F;g;0;0;0;1/8;;
144;287;2;1;Bd Bc BG dB | AG cB !mark!BG GG;&;^F;g;0;0;0;1/8;;
145;288;1;1;AA eB cB cB | ed e/d/B dc AA;&;;a;0;0;0;1/8;;
146;288;2;1;AA eB c!mark!d cB | ed e/d/B dc AA;&;;a;0;0;0;1/8;;
147;289;1;1;ce Bc c/B/A ee | ee de c/B/A AA;&;;a;0;0;0;1/8;;
148;290;1;1;ce ec cB ce | cc Bc AA AA;&;;a;0;0;0;1/8;;
149;291;1;1;GG dc dd AB | cd BA AG GG;&;_B _E;g;0;0;C;1/8;;
150;292;1;1;GG dc dd AB | cd BA AG GG;&;_B;g;0;0;C;1/8;;
151;293;1;1;GG dc dd AB | cd BA AG GG;&;_B;g;0;0;C;1/8;;
152;294;1;1;GG dc dd AB | cd BA AG GG;&;_B;g;0;0;C;1/8;;
153;295;1;1;dd de ec ce | dc Bc cA AA;&;;a;0;0;C;1/8;;
154;296;1;1;dd de ec ce | dc Bc cA AA;&;;a;0;0;C;1/8;;
155;297;1;1;Bd cB dB AG | Bd cA BG GG;&;_B _E;g;0;0;24;1/8;;
156;4528;1;1;FD FF FD CD | GE DC DD DD;&;_B  _E;d;0;0;0;1/8;;
157;298;1;1;cc BG AG AF | BA GF FE EE;&;^F;e;0;0;24;1/8;;
158;299;1;1;AF/G/ Ad cA cd | ed/c/ B/c/d BG AA;&;;a;0;1/4=100;0;1/8;;
159;300;1;1;Bd cA cA Bc | BG FF FG GG;&;_B;g;0;0;0;1/8;;
160;300;2;1;Bd cA cA Bc | BG FF F!mark!F GG;&;_B;g;0;0;0;1/8;;
161;301;1;1;Bd cA cA Bc | BG FF FG GG;&;_B;g;0;0;24;1/8;;
162;301;2;1;Bd cA cA Bc | BG FF F!mark!F GG;&;_B;g;0;0;24;1/8;;
163;302;1;1;ce Bc cB ee | de Bc B^G AA;&;;a;0;1/4=100;0;1/8;;
164;303;1;2A;FG AG FE F2 D2 | DE GE ED F2 D2;&;^F ^C;d;0;0;0;1/8;;
165;304;1;2A;AA AA cc B/c/2 d2 | ce dA dB A2 A2;&;;a;0;1/4=80;24-34;1/8;;
166;305;1;1;GG c/B/A GE GG | DD/E/ F/E/D CE GG;&;;c;0;0;24;1/8;;
167;306;1;4;cB2 cB2 BA2 AB2 | cB2 cB2 BA2 AA2;&;;a;0;0;38;1/8;;
168;306;2;4;cB2 cB2 BA2 A!mark!A2 | cB2 cB2 BA2 AA2;&;;a;0;0;38;1/8;;
169;308;1;1;FA cf fc cc | BG GB AF FF;&;;f;0;0;0;1/8;;
170;308;2;1;FA cf fc cc | B!mark!A GB AF FF;&;;f;0;0;0;1/8;;
171;309;1;1;EA AE AG GF | FE ED FE EE;&;^F;e;0;0;48;1/8;;
172;309;1;1;EA AA EG GG | GF FF DF EE;&;^F;e;0;0;48;1/8;;
173;311;1;1;GB GB dc/B/ AA | FA FA cB/A/ GG;&;^F;g;0;0;0;1/8;;
174;311;1;1;GB GB dc BA | FA FA cB AG;&;^F;g;0;0;0;1/8;;
175;312;1;1;EG BB BA FF | BA GF GE EE;&;^F;e;0;0;0;1/8;;
176;313;1;1;EF GE GG EE | GG FD FF EE;&;^F;e;0;0;24;1/8;;
177;315;1;1;EC EC ED DD | DD ED DC CC;&;;c;0;0;0;1/8;;
178;316;1;1;GG BB AA AA | dc BA GG GG;&;^F;g;0;0;0;1/8;;
179;317;1;1;GG dB cA AA | dB cA GG GG;&;^F;g;0;0;0;1/8;;
180;318;1;1;dd/c/ Bc eA AA | ed cA GB BB;&;^F;g;0;0;0;1/8;;
181;318;2;1;d!mark!c Bc eA AA | ed cA GB B!mark!c;&;^F;g;0;0;0;1/8;;
182;319;1;1;ee cd fd cA | ee Bc dB AA;&;^F ^C ^G;a;0;0;0;1/8;;
183;4529;1;1;GG FD GG AF | GG GF ED DD;&;^F;d;0;0;0;1/8;;
184;4530;1;1;GA Bc AG BA | GA Bc AG GG;&;^F;g;0;0;0;1/8;;
185;4531;1;1;AF BA GF FG | AF BA GF FF;&;_B;f;0;0;0;1/8;;
186;320;1;1;dd BG cc BG | cc BG AF GG;&;^F;g;0;0;44288;1/8;;
187;321;1;1;dB dB BA AA | AB cA AG GG;&;^F;g;0;0;44288;1/8;;
188;322;1;1;GB GB BA AA | FA FA AG GG;&;^F;g;0;1/8=192;48;1/8;;
189;323;1;9;G2 A B2 e d2 d d2 c | B2 d A2 B G2 G G2 G;&;^F;g;0;0;44414;1/8;;
190;324;1;1;ee dd cc EE | GG AA GG GG;&;^F;g;0;0;48;1/8;;
191;325;1;1;dd BB dd BB | cc AA dd BB;&;^F;"g;h";0;0;0;1/8;;
192;326;1;1;GG GA cB GA | BG AG GG GG;&;^F;g;0;0;C;1/8;;
193;326;2;1;GG GA cB GA | BG AG GG G!mark!D;&;^F;g;0;0;C;1/8;;
194;338;1;1;dB BG B/c/A AF | AB/c/ de dB BC;&;^F;"g;h";0;0;44288;1/8;;
195;338;2;1;dB BG !mark!cA AF | AB/c/ de dB BC;&;^F;"g;h";0;0;44288;1/8;;
196;340;1;1;GG EE GG EE | GG AA GG EE;&;;"c;e";0;0;24;1/8;;
197;341;1;1;FF FF FF FF | CC CC CC CC;&;;c;0;1/4=160;0;1/8;;
198;342;1;1;ce AA cB GG | Bd BB Gc AA;&;;"a;g";0;0;24;1/8;;
199;343;1;1;GA BA dc BA | dc BA BG GG;&;^F;g;0;0;48;1/8;;
200;343;2;1;GA BA dc BA | dc B!mark!d BG GG;&;^F;g;0;0;48;1/8;;
201;345;1;1;cB Ac BA GG | AG FA GF EE;&;^F;e;0;1/4=208;0;1/8;;
202;4532;1;1;GB A/B/c BG BA | GB A/B/c BG GG;&;^F;g;0;0;0;1/8;;
203;4533;1;1;dd dA cc c/B/A | dd cA BA AA;&;;a;0;0;0;1/8;;
204;4533;2;1;dd dA cc c/B/A | dd cA !mark!A!mark!^G AA;&;;a;0;0;0;1/8;;
205;4534;1;2A;GG BA GB A2 c2 | cB cA BB A2 A2;&;;a,g;0;0;0;1/8;;
206;4534;2;2A;G!mark!A BA GB A2 c2 | cB cA BB A2 A2;&;;a,g;0;0;0;1/8;;
207;4535;1;13;G/G/ c/B/ cA Gc | c/B/ A/B/ cA GG;&;;g;0;0;0;1/8;;
208;4537;1;1;GA Bc dc BA | BB AA AG GG;&;;g;0;0;0;1/8;;
209;4537;2;1;GA B!mark!B/c/ dc BA | BB AA !mark!GG GG;&;;g;0;0;0;1/8;;
210;4538;1;1;GA BB/c/ dc BA/B/ | cB BA AG GG;&;;g;0;0;0;1/8;;
211;4538;2;1;GA B!mark!d dc BA/B/ | cB BA AG GG;&;;g;0;0;0;1/8;;
212;4538;1;1;AA cc/d/ ed cB | BB AA AG GG;&;;g;0;0;0;1/8;;
213;4539;1;1;cc AB AG BA | AG BA GF F<F>;&;_B;f;0;0;0;1/8;;
214;4540;1;1;Bd dB dc BG | Bd dd BA GG;&;^F;g;0;0;0;1/8;;
215;4540;2;1;Bd dB dc BG | Bd d!mark!c BA GG;&;^F;g;0;0;0;1/8;;
216;4541;1;1;dB GG BA FF | cA FF AG GG;&;^F;g;0;0;0;1/8;;
217;4542;1;1;Gd dB cA AF | Fc cA BG GG;&;;g;0;0;0;1/8;;
218;346;1;1;GE DD BA GG | FE DF GG GG;&;^F;g;0;0;0;1/8;;
219;347;1;1;BB Bd dd BB | cc BA GG GG;&;^F;g;0;0;0;1/8;;
220;348;1;1;EF GF AE EE | GE EE EE EE;&;^F;e;0;0;0;1/8;;
221;348;2;1;EF GF !mark!EE EE | GE EE EE EE;&;^F;e;0;0;0;1/8;;
222;349;1;1;dd dd ec cc | cc cc BA GG;&;^F;g;0;0;0;1/8;;
223;352;1;1;cc/G/ AB cc/G/ AB | cc/G/ AB AG GG;&;;"a;g";0;0;24;1/8;;
224;353;1;1;GG cA BG GG | GG AF AG GG;&;^F;g;0;0;24;1/8;;
225;354;1;1;GB/A/ FA FG BA | AB/A/ FA FG GG;&;^F;g;0;0;24;1/8;;
226;355;1;1;DD GF GF EE | DD GF GF EE;&;^F;e;0;0;48;1/8;;
227;356;1;1;GA cB cA BA | AB cA BG GG;&;;g;g1=e;0;0;1/8;;
228;356;2;1;GA cB !mark!c/B/A !mark!c/A/A | AB cA !mark!AG GG;&;;g;g1=e;0;0;1/8;;
229;357;1;1;EE AF ^GE EE | E^D F^D FE EE;&;;e;0;0;0;1/8;;
230;358;1;1;AB cc BA GG | cc BA GG GG;&;^F;g;0;0;24;1/8;;
231;359;1;1;Gc cB cA GG | cc BA GG GG;&;;g;0;0;24;1/8;;
232;360;1;1;GG cA BF GG | GG AG AF GG;&;^F;g;0;a) 1/4=120, b) 1/4=144;24;1/8;;
233;361;1;1;GG BG GG AG | GG AB cc BG;&;;g;0;0;C;1/8;;
234;362;1;1;GG AB cB BA | cB AG AG GG;&;^F;g;0;0;0;1/8;;
235;362;2;1;GG AB cB !mark!B/A/A | cB AG AG GG;&;^F;g;0;0;0;1/8;;
236;363;1;1;GG GB cB Ac | BA AB BG GG;&;_B _E;g;0;1/4=100;24;1/8;;
237;363;2;1;GG G!mark!A/B/ cB Ac | BA AB !mark!GG GG;&;_B _E;g;0;1/4=100;24;1/8;;
238;364;1;1;BB GG BG GG | cc BA BG GG;&;_B;g;0;0;0;1/8;;
239;365;1;1;GG GG GF ED | FF FF FE DD;&;;d;0;0;24;1/8;;
240;365;2;1;GG GG GF ED | FF FF !mark!E!mark!D DD;&;;d;0;0;24;1/8;;
241;366;1;1;GG GG FE DD | FF FF ED DD;&;;d;0;0;24;1/8;;
242;367;1;1;FF FF ED CD | EF ED EC CC;&;_B _E;c;0;0;24;1/8;;
243;368;1;1;CE CE CE FF | EE CE CD DD;&;;c;0;0;0;1/8;;
244;368;2;1;!mark!DE CE C!mark!F FF | EE CE CD DD;&;;c;0;0;0;1/8;;
245;370;1;2;EE AA FF F HF2 | EF AA GG E HE2;&;^F ^G;e;0;0;54;1/8;;
246;372;1;2;BB GB AG G HF2 | GG FG GG F HF2;&;_B;f;0;0;0;1/8;;
247;373;1;2;cc Ac BG G HG2 | BB GB BA F HG2;&;^F;g;0;0;24;1/8;;
248;373;2;2;cc Ac BG G HG2 | BB GB BA !mark!=F HG2;&;^F;g;0;0;24;1/8;;
249;375;1;2/1;EE GG FE G HF2 | E/F/G GF GF EE;&;^F;e;0;0;0;1/8;;
250;375;1;2/1;EE GG GF F HF2 | EE FE FE EE;&;^F;e;0;0;0;1/8;;
251;378;1;2/1;EE GG FE G HF2 | E/F/G GF GF EE;&;^F;e;0;0;0;1/8;;
252;384;1;4;cc2 BA2 BA2 GG2 | BB2 AG2 AA2 GG2;&;_B;g;0;1/4=100;24;1/8;;
253;385;1;1;BB AA GG FF | BB AA GG FF;&;_B;f;0;1/4=124;24;1/8;;
254;386;1;1;Bd Bc dc BA | Bd Bc AG GG;&;^F;g;0;0;C;1/8;;
255;387;1;1;DE FF EE DD | GG FA EE DD;&;^F;d;0;0;24;1/8;;
256;388;1;1;Bd Bc Ac AG | Ac AB GG GG;&;^F;g;0;0;C;1/8;;
257;388;2;1;Bd Bc Ac AG | Ac !mark!G!mark!G GG GG;&;^F;g;0;0;C;1/8;;
258;389;1;1;Bd Bc Ac AG | Ac AB GG GG;&;^F;g;0;0;C;1/8;;
259;389;2;1;Bd Bc Ac AG | Ac !mark!G!mark!G GG GG;&;^F;g;0;0;C;1/8;;
260;390;1;1;AF AF BA GG | BG Bc AG FF;&;_B;f;0;0;C;1/8;;
261;393;1;1;CE EE GE DC | CE EE DC CC;&;;c;0;0;C;1/8;;
262;394;1;1;dd cB dB AA | BB AG BG GG;&;^F;g;0;0;24;1/8;;
263;395;1;1;FF/A/ BA cA AA | BG FF FF FF;&;_B;f;0;0;24;1/8;;
264;395;2;1;FF/A/ BA c!mark!B AA | BG !mark!GF FF FF;&;_B;f;0;0;24;1/8;;
265;1811;1;1;GB dd cA BG | FA cA FA GG;&;^F;g;0;0;0;1/8;;
266;2369;1;1;dA/B/ dd cA/B/ AG | cA/B/ cc BA AA;&;;"a;g";0;0;44;1/8;;
267;2370;1;1/2;AA AA AG FE | GG GG FE D/F/ HF2;&;^F;g;0;0;0;1/8;;
268;2371;1;1;dB cA GB dd | cA BA GB dd;&;^F;g;0;0;24;1/8;;
269;2371;2;1;dB cA !mark!B!mark!G dd | cA BA GB dd;&;^F;g;0;0;24;1/8;;
270;2372;1;1;dB cA dG GG | cA BA GB dd;&;^F;g;0;0;24;1/8;;
271;2373;1;1;dd cA dc BB | BB AA GB dd;&;^F;g;0;0;48;1/8;;
272;2373;2;1;dd cA d!mark!d BB | BB AA GB dd;&;^F;g;0;0;48;1/8;;
273;2374;1;1;cc cA AG GG | BB BE GF FF;&;_B;f;0;0;24;1/8;;
274;2375;1;1;BA/B/ cA AF FF | cB/c/ dB BG GG;&;^F;g;0;0;24;1/8;;
275;2376;1;1;dB dd cA cc | BG BB AF GG;&;^F;g;0;0;24;1/8;;
276;2377;1;1;dB dd cA cc | BG BB AF GG;&;^F;g;0;0;24;1/8;;
277;2378;1;1;Ac Ac BA GE | GB GB AF FF;&;_B;f;0;0;44;1/8;;
278;2379;1;1;Ac Ac BA GE | GB GB AF FF;&;_B;f;0;0;44;1/8;;
279;2380;1;1;Ac Ac BA GE | GB GB AF FF;&;_B;f;0;0;44;1/8;;
